S.NO,deviceID,Temp,aX,aY,aZ,accSrt,gX,gY,gZ,mX,mY,mZ,horiDir,cdate,Movement,Chewing,Heat
24,I1002,36.5,-0.32,0.98,0.09,1.04,1.53,-2.93,-1.65,61.95,117.14,-68.67,27.87,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
25,I1002,36.5,-0.3,0.94,0.09,0.99,0.12,2.93,0.92,61.95,119.53,-68.67,27.4,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
26,I1002,36.5,-0.3,0.95,0.1,1,-2.99,-5.13,-0.31,59.57,118.34,-65.24,26.72,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
27,I1002,36.5,-0.29,0.95,0.05,1,0.67,2.99,1.77,59.57,118.34,-68.67,26.72,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
28,I1002,36.5,-0.29,0.95,0.1,1,3.85,-3.66,-3.78,59.57,115.95,-67.53,27.19,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
29,I1002,36.5,-0.27,0.93,0.09,0.97,2.14,-1.65,1.28,60.76,119.53,-67.53,26.95,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
30,I1002,36.5,-0.22,0.92,0.03,0.95,0.73,4.15,2.44,60.76,118.34,-66.38,27.18,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
31,I1002,36.5,-0.29,0.94,0.1,0.99,1.1,-3.6,-0.61,58.38,123.12,-68.67,25.37,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
32,I1002,36.5,-0.29,0.93,0.09,0.98,2.14,-2.99,-1.16,58.38,121.92,-70.96,25.59,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
33,I1002,36.5,-0.28,0.94,0.09,0.98,1.53,9.95,-0.18,57.19,121.92,-69.82,25.13,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
34,I1002,36.5,-0.33,0.94,0.1,1,-4.21,-3.91,0.24,59.57,120.73,-67.53,26.26,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
35,I1002,36.5,-0.3,0.96,0.11,1.01,-4.09,-12.02,0.92,59.57,118.34,-66.38,26.72,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
36,I1002,36.5,-0.31,0.94,0.1,0.99,2.56,3.85,-0.18,61.95,117.14,-65.24,27.87,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
37,I1002,36.5,-0.31,0.95,0.12,1.01,2.2,-4.03,-2.99,60.76,120.73,-69.82,26.72,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
38,I1002,36.5,-0.28,0.95,0.1,0.99,-2.38,1.71,0.31,58.38,123.12,-68.67,25.37,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
39,I1002,36.5,-0.31,0.93,0.1,0.98,0.43,3.05,-3.54,61.95,117.14,-69.82,27.87,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
40,I1002,36.5,-0.29,0.94,0.1,0.99,-0.18,-0.12,0.06,59.57,120.73,-69.82,26.26,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
41,I1002,36.5,-0.3,0.93,0.09,0.99,0.06,-0.92,-0.43,59.57,121.92,-68.67,26.04,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
42,I1002,36.5,-0.31,0.93,0.08,0.98,3.36,-7.26,-1.16,59.57,119.53,-67.53,26.49,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
43,I1002,36.5,-0.26,0.92,0.1,0.96,0.49,-3.42,-8,60.76,118.34,-67.53,27.18,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
44,I1002,36.5,-0.28,0.91,0.09,0.96,-4.76,-7.51,2.62,60.76,121.92,-70.96,26.49,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
45,I1002,36.5,-0.3,0.92,0.11,0.97,5.07,1.46,-1.59,60.76,118.34,-66.38,27.18,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
46,I1002,36.5,-0.3,0.97,0.09,1.02,1.95,-1.53,-1.77,57.19,120.73,-69.82,25.35,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
47,I1002,36.5,-0.28,0.94,0.1,0.99,-1.28,0.37,0.67,59.57,119.53,-68.67,26.49,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
48,I1002,36.5,-0.28,0.92,0.09,0.97,3.97,5.13,-0.79,61.95,120.73,-66.38,27.17,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
49,I1002,36.5,-0.28,0.95,0.12,1,1.77,-0.67,-1.22,61.95,120.73,-64.09,27.17,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
50,I1002,36.5,-0.31,0.94,0.11,0.99,-6.53,-13.49,2.14,59.57,120.73,-68.67,26.26,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
51,I1002,36.5,-0.29,0.91,0.1,0.96,2.38,3.78,0.85,59.57,119.53,-68.67,26.49,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
52,I1002,36.5,-0.29,0.94,0.11,0.99,2.32,-2.75,-2.26,59.57,119.53,-65.24,26.49,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
53,I1002,36.5,-0.28,0.94,0.1,0.99,-2.56,2.38,1.28,59.57,121.92,-68.67,26.04,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
54,I1002,36.5,-0.28,0.92,0.11,0.97,2.56,3.23,-1.4,59.57,119.53,-69.82,26.49,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
55,I1002,36.5,-0.27,0.96,0.1,1,1.22,1.71,-1.65,61.95,118.34,-66.38,27.63,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
56,I1002,36.5,-0.28,0.94,0.11,0.99,-5.31,-7.93,1.95,64.34,120.73,-67.53,28.05,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
57,I1002,36.5,-0.27,0.94,0.05,0.98,2.14,1.4,0.67,61.95,120.73,-67.53,27.17,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
58,I1002,36.5,-0.29,0.92,0.09,0.97,3.97,5.74,1.71,57.19,120.73,-67.53,25.35,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
59,I1002,36.5,-0.29,0.93,0.09,0.98,5.62,2.26,-1.28,59.57,120.73,-65.24,26.26,05-03-2022 12:42,Sitting,Head Upright But Moving Jaw/ Rumination,Peak Heat
122,I1002,35.5,-0.36,0.92,0.12,1,0.61,-1.28,-0.55,64.34,123.12,-81.26,27.59,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
123,I1002,35.5,-0.35,0.92,0.12,0.99,1.22,-2.69,-0.61,65.53,120.73,-80.12,28.49,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
124,I1002,35.5,-0.36,0.92,0.12,1,1.4,0.67,0,60.76,120.73,-80.12,26.72,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
125,I1002,35.5,-0.36,0.92,0.12,0.99,0.31,-0.98,0.31,63.14,120.73,-81.26,27.61,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
126,I1002,35.5,-0.36,0.91,0.11,0.99,0.18,-1.22,-1.46,64.34,120.73,-80.12,28.05,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
127,I1002,35.5,-0.36,0.91,0.12,0.99,2.08,-0.37,-0.92,64.34,119.53,-81.26,28.29,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
128,I1002,35.5,-0.36,0.92,0.12,0.99,-0.43,-0.31,-0.73,60.76,120.73,-81.26,26.72,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
129,I1002,35.5,-0.37,0.91,0.11,0.99,0.12,-0.92,-0.67,63.14,118.34,-82.41,28.08,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
130,I1002,35.5,-0.35,0.92,0.13,1,-1.46,7.87,-3.23,60.76,121.92,-78.97,26.49,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
131,I1002,35.5,-0.35,0.91,0.12,0.99,0.06,-0.98,-0.73,61.95,118.34,-75.54,27.63,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
132,I1002,35.5,-0.36,0.93,0.13,1,0.85,-1.46,-0.18,66.72,119.53,-80.12,29.17,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
133,I1002,35.5,-0.35,0.92,0.12,0.99,0.61,-0.06,-0.55,65.53,118.34,-81.26,28.98,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
134,I1002,35.5,-0.35,0.92,0.13,0.99,1.04,-1.1,0.06,65.53,119.53,-78.97,28.73,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
135,I1002,35.5,-0.34,0.91,0.13,0.98,-0.31,0.06,0,61.95,119.53,-80.12,27.4,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
136,I1002,35.5,-0.36,0.91,0.12,0.99,0.12,-1.53,0,63.14,119.53,-77.83,27.85,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
137,I1002,35.5,-0.36,0.92,0.12,0.99,0.61,-1.53,-0.06,64.34,118.34,-80.12,28.53,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
138,I1002,35.5,-0.35,0.92,0.13,0.99,0.79,-1.46,-0.06,64.34,120.73,-78.97,28.05,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
139,I1002,35.5,-0.34,0.91,0.12,0.98,0.18,-1.04,-0.43,64.34,119.53,-77.83,28.29,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
140,I1002,35.5,-0.36,0.92,0.12,1,0.49,-0.67,-0.12,65.53,118.34,-78.97,28.98,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
141,I1002,35.5,-0.35,0.92,0.12,1,2.14,-2.01,-0.24,63.14,119.53,-78.97,27.85,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
142,I1002,35.5,-0.36,0.92,0.13,0.99,1.65,-0.73,0.06,66.72,115.95,-78.97,29.92,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
143,I1002,35.5,-0.36,0.92,0.11,0.99,0.49,-0.49,0.24,63.14,118.34,-80.12,28.08,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
144,I1002,35.5,-0.36,0.93,0.11,1,5,-9.58,3.91,61.95,123.12,-82.41,26.71,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
145,I1002,35.5,-0.36,0.92,0.12,0.99,4.94,-4.88,-2.44,63.14,120.73,-82.41,27.61,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
146,I1002,35.5,-0.35,0.91,0.12,0.98,-0.67,0.85,-0.55,64.34,118.34,-77.83,28.53,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
147,I1002,35.5,-0.36,0.91,0.12,0.99,0.61,-0.55,-0.24,64.34,118.34,-81.26,28.53,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
148,I1002,35.5,-0.35,0.92,0.12,0.99,1.28,-0.98,0.43,67.91,118.34,-78.97,29.85,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
149,I1002,35.5,-0.34,0.92,0.13,0.99,-0.06,-0.43,0.24,65.53,119.53,-80.12,28.73,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
150,I1002,35.5,-0.35,0.92,0.12,0.99,0.24,-0.12,-0.24,64.34,121.92,-80.12,27.82,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
151,I1002,35.5,-0.35,0.92,0.12,0.99,1.16,-2.32,-0.85,63.14,119.53,-80.12,27.85,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
152,I1002,35.5,-0.34,0.92,0.12,0.99,0.31,-0.92,-1.59,60.76,123.12,-82.41,26.27,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
153,I1002,35.5,-0.34,0.93,0.12,0.99,0.24,-0.24,0.31,65.53,121.92,-80.12,28.26,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
154,I1002,35.5,-0.34,0.92,0.12,0.99,1.53,-0.61,-0.37,65.53,119.53,-80.12,28.73,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
155,I1002,35.5,-0.34,0.92,0.12,0.99,0.37,-0.24,-0.31,64.34,120.73,-78.97,28.05,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
156,I1002,35.5,-0.34,0.92,0.13,0.99,0,-0.98,-0.12,63.14,119.53,-78.97,27.85,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
157,I1002,35.5,-0.34,0.93,0.12,1,-0.37,-1.1,-0.61,64.34,119.53,-80.12,28.29,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
158,I1002,35.5,-0.34,0.92,0.11,0.99,-0.06,-0.79,0.61,65.53,119.53,-78.97,28.73,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
159,I1002,35.5,-0.34,0.91,0.12,0.98,0.61,-0.18,-0.12,61.95,121.92,-80.12,26.94,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
160,I1002,35.5,-0.33,0.92,0.12,0.99,1.59,-0.18,-0.73,64.34,119.53,-81.26,28.29,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
161,I1002,35.5,-0.34,0.92,0.12,0.99,0.49,-0.31,-0.61,63.14,120.73,-82.41,27.61,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
162,I1002,35.5,-0.34,0.92,0.13,0.99,0.79,-1.71,-0.06,63.14,121.92,-77.83,27.38,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
163,I1002,35.5,-0.34,0.92,0.12,0.99,1.77,-2.08,0.24,61.95,123.12,-80.12,26.71,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
164,I1002,35.5,-0.34,0.92,0.12,0.99,0.37,-0.49,-0.24,63.14,119.53,-80.12,27.85,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
165,I1002,35.5,-0.34,0.93,0.12,1,0.73,-1.28,0.43,63.14,119.53,-80.12,27.85,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
166,I1002,35.5,-0.34,0.93,0.11,0.99,0.55,-1.46,0.31,63.14,121.92,-80.12,27.38,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
167,I1002,35.5,-0.35,0.92,0.11,0.99,0.85,-0.37,0.37,63.14,120.73,-81.26,27.61,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
168,I1002,35.5,-0.35,0.92,0.11,0.99,0.61,-1.65,-0.24,64.34,120.73,-80.12,28.05,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
169,I1002,35.5,-0.34,0.92,0.12,0.99,0.67,-0.79,0.18,66.72,119.53,-80.12,29.17,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
170,I1002,35.5,-0.35,0.92,0.12,0.99,0.92,-1.53,-0.61,61.95,120.73,-81.26,27.17,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
171,I1002,35.5,-0.34,0.92,0.11,0.99,0.24,-0.18,-0.31,63.14,124.31,-82.41,26.93,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
172,I1002,35.5,-0.34,0.92,0.11,0.98,1.04,-1.71,0.06,64.34,120.73,-82.41,28.05,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
173,I1002,35.5,-0.35,0.93,0.11,1,-0.18,-0.49,0.55,64.34,121.92,-82.41,27.82,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
174,I1002,35.5,-0.34,0.92,0.11,0.99,0,-0.98,0.49,64.34,119.53,-78.97,28.29,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
175,I1002,35.5,-0.34,0.92,0.11,0.99,0.37,-1.04,-0.61,64.34,120.73,-82.41,28.05,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
176,I1002,35.5,-0.35,0.93,0.12,1,0.43,0.37,-0.12,64.34,121.92,-80.12,27.82,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
177,I1002,35.5,-0.35,0.93,0.11,1,0.31,-0.92,-0.79,64.34,119.53,-80.12,28.29,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
178,I1002,35.5,-0.34,0.91,0.11,0.98,0,-1.46,-0.18,64.34,119.53,-81.26,28.29,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
179,I1002,35.5,-0.35,0.92,0.11,0.99,1.34,-0.85,0.37,64.34,121.92,-81.26,27.82,05-03-2022 12:31,Sitting,No Movement of Jaw,Peak Heat
242,I1002,34.5,0.52,0.67,0.55,1.01,0.49,-0.73,0,83.4,68.13,-74.39,50.75,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
243,I1002,34.5,0.51,0.67,0.55,1,-0.55,0.79,0.12,83.4,66.94,-73.25,51.25,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
244,I1002,34.5,0.51,0.67,0.55,1.01,0.85,-0.92,-0.06,82.21,68.13,-74.39,50.35,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
245,I1002,34.5,0.52,0.67,0.55,1.01,0.55,-1.04,0.06,81.02,68.13,-75.54,49.94,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
246,I1002,34.5,0.51,0.67,0.55,1.01,0.61,-0.98,-0.31,82.21,68.13,-73.25,50.35,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
247,I1002,34.5,0.51,0.66,0.56,1,2.14,-0.92,-0.24,81.02,66.94,-74.39,50.44,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
248,I1002,34.5,0.52,0.67,0.55,1.01,1.04,-0.85,-0.49,79.82,65.74,-74.39,50.53,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
249,I1002,34.5,0.51,0.67,0.55,1.01,0.61,-0.85,-0.24,81.02,64.55,-72.11,51.45,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
250,I1002,34.5,0.51,0.67,0.55,1.01,0.61,-0.85,-1.04,78.63,66.94,-73.25,49.59,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
251,I1002,34.5,0.52,0.67,0.55,1.01,0.31,-0.79,0.31,79.82,66.94,-73.25,50.02,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
252,I1002,34.5,0.51,0.67,0.54,1.01,0.85,-0.73,-0.37,79.82,66.94,-72.11,50.02,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
253,I1002,34.5,0.52,0.67,0.55,1.01,1.28,-1.04,-0.43,79.82,68.13,-72.11,49.52,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
254,I1002,34.5,0.51,0.67,0.55,1.01,0.49,-0.73,-0.31,79.82,66.94,-72.11,50.02,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
255,I1002,34.5,0.52,0.66,0.55,1,0.43,-0.49,0.06,82.21,66.94,-70.96,50.85,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
256,I1002,34.5,0.52,0.67,0.55,1.01,0.55,-0.98,-0.06,83.4,64.55,-70.96,52.26,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
257,I1002,34.5,0.51,0.67,0.55,1.01,0.61,-0.73,0.24,81.02,63.35,-72.11,51.98,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
258,I1002,34.5,0.52,0.67,0.55,1.01,0.37,-0.79,-0.18,84.59,69.33,-74.39,50.66,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
259,I1002,34.5,0.52,0.67,0.55,1.01,0.31,-0.98,-0.37,79.82,71.72,-77.83,48.06,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
260,I1002,34.5,0.52,0.67,0.55,1.01,0.85,-0.98,-0.55,81.02,69.33,-77.83,49.45,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
261,I1002,34.5,0.51,0.66,0.55,1,0.24,-1.04,0.06,82.21,70.52,-73.25,49.37,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
262,I1002,34.5,0.51,0.67,0.55,1.01,0.49,-0.79,-0.06,83.4,66.94,-74.39,51.25,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
263,I1002,34.5,0.51,0.67,0.55,1.01,0.61,-1.04,-0.24,85.78,68.13,-73.25,51.54,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
264,I1002,34.5,0.52,0.67,0.56,1.01,0.55,-0.98,-0.49,82.21,65.74,-74.39,51.35,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
265,I1002,34.5,0.52,0.67,0.56,1.01,0.43,-0.85,-0.37,81.02,68.13,-72.11,49.94,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
266,I1002,34.5,0.52,0.66,0.54,1,-0.06,-0.55,-0.31,82.21,68.13,-70.96,50.35,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
267,I1002,34.5,0.51,0.67,0.55,1.01,0.67,-0.85,-0.24,81.02,69.33,-75.54,49.45,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
268,I1002,34.5,0.52,0.67,0.55,1.01,0.43,-0.79,-0.31,81.02,66.94,-73.25,50.44,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
269,I1002,34.5,0.52,0.67,0.55,1.01,0.73,-0.79,-0.18,82.21,65.74,-73.25,51.35,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
270,I1002,34.5,0.51,0.67,0.55,1.01,0.67,-1.22,-0.06,81.02,66.94,-72.11,50.44,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
271,I1002,34.5,0.52,0.67,0.55,1.01,0.06,-1.28,-0.31,82.21,66.94,-73.25,50.85,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
272,I1002,34.5,0.52,0.67,0.55,1.01,0.61,-0.79,-0.31,82.21,66.94,-70.96,50.85,05-03-2022 12:20,Sitting,No Movement of Jaw,Peak Heat
